Player,Pos,Age,Tm,G,GS,MP/G,FG/G,FGA/G,FG%,3P/G,3PA/G,3P%,2P/G,2PA/G,2P%,eFG%,FT/G,FTA/G,FT%,ORB/G,DRB/G,TRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G
Jack Cooley,PF,26,SAC,2,0,5.0,2.0,3.5,.571,0.0,0.0,,2.0,3.5,.571,.571,1.0,1.0,1.000,1.5,0.5,2.0,1.0,0.0,0.0,0.0,1.0,5.0
Matt Costello,C,24,SAS,4,0,8.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.3,2.0,2.3,0.5,0.5,0.5,0.3,1.8,1.0
DeMarcus Cousins,C,27,NOP,48,48,36.2,8.5,18.0,.470,2.2,6.1,.354,6.3,11.9,.530,.530,6.1,8.2,.746,2.2,10.7,12.9,5.4,1.6,1.6,5.0,3.8,25.2
Robert Covington,PF,27,PHI,68,68,31.9,4.3,10.4,.413,2.6,6.8,.377,1.7,3.5,.483,.538,1.5,1.8,.844,0.7,4.7,5.4,1.9,1.5,0.8,1.6,3.0,12.6
Allen Crabbe,SG,25,BRK,66,59,29.5,4.4,11.0,.397,2.5,7.0,.365,1.8,4.0,.453,.513,1.4,1.7,.855,0.4,4.0,4.4,1.5,0.6,0.4,1.1,2.3,12.7
Torrey Craig,SF,27,DEN,29,4,16.0,1.7,3.7,.463,0.4,1.5,.302,1.3,2.2,.569,.523,0.7,1.1,.645,1.0,2.1,3.1,0.6,0.3,0.2,0.4,1.5,4.6
Jamal Crawford,SG,37,MIN,70,0,20.1,3.9,9.2,.422,1.3,3.9,.338,2.5,5.2,.485,.495,1.3,1.5,.902,0.2,0.9,1.2,2.3,0.5,0.1,1.1,1.1,10.4
Jordan Crawford,SG,29,NOP,2,0,18.5,3.5,7.0,.500,2.0,2.5,.800,1.5,4.5,.333,.643,0.0,0.0,,1.0,0.5,1.5,4.5,0.0,0.5,2.0,3.0,9.0
Jae Crowder,SF,27,TOT,69,47,26.2,3.3,8.0,.407,1.3,4.1,.331,1.9,4.0,.485,.491,1.6,2.0,.816,0.7,2.7,3.4,1.2,0.8,0.2,0.9,2.3,9.5
Jae Crowder,SF,27,CLE,53,47,25.4,3.0,7.1,.418,1.2,3.6,.328,1.8,3.5,.508,.500,1.5,1.7,.848,0.8,2.5,3.3,1.1,0.8,0.2,0.8,2.3,8.6
Jae Crowder,SF,27,UTA,16,0,29.0,4.3,11.2,.385,1.9,5.8,.337,2.4,5.4,.437,.472,2.1,2.8,.750,0.6,3.4,4.0,1.8,0.8,0.3,1.3,2.1,12.6
Dante Cunningham,SF,30,TOT,64,25,21.6,2.1,4.7,.454,0.8,2.2,.360,1.4,2.5,.534,.536,0.4,0.7,.596,1.0,3.0,4.0,0.6,0.6,0.3,0.4,1.5,5.5
Dante Cunningham,SF,30,NOP,51,24,21.9,1.9,4.4,.440,0.7,2.1,.324,1.3,2.3,.547,.518,0.4,0.7,.556,1.0,2.8,3.8,0.5,0.5,0.3,0.3,1.5,5.0
Dante Cunningham,SF,30,BRK,13,1,20.7,2.9,5.9,.494,1.2,2.4,.484,1.8,3.5,.500,.591,0.6,0.8,.727,1.3,3.6,4.9,1.1,0.8,0.5,0.9,1.6,7.6
Stephen Curry,PG,29,GSW,50,50,32.1,8.4,16.9,.494,4.2,9.9,.424,4.2,7.1,.592,.618,5.4,5.9,.919,0.7,4.4,5.1,6.2,1.6,0.1,3.0,2.3,26.3
Troy Daniels,SG,26,PHO,71,7,20.0,2.8,7.0,.405,2.2,5.6,.397,0.6,1.4,.434,.564,0.7,0.8,.883,0.1,1.3,1.4,0.6,0.3,0.1,0.7,1.8,8.6
Anthony Davis,PF,24,NOP,65,65,36.4,10.4,19.4,.538,0.8,2.3,.345,9.6,17.1,.564,.558,6.5,7.8,.833,2.5,8.6,11.2,2.3,1.4,2.4,2.2,2.1,28.2
Deyonta Davis,C,21,MEM,51,3,14.0,2.5,4.0,.624,0.0,0.0,,2.5,4.0,.624,.624,0.6,0.9,.711,1.2,2.6,3.9,0.6,0.2,0.6,0.5,2.0,5.6
Ed Davis,C,28,POR,71,0,19.1,2.3,3.8,.590,0.0,0.0,,2.3,3.8,.590,.590,1.0,1.5,.664,2.5,5.1,7.6,0.5,0.5,0.7,0.8,2.4,5.5
Dewayne Dedmon,C,28,ATL,52,36,24.2,4.0,7.3,.542,0.8,2.2,.366,3.2,5.2,.616,.596,1.0,1.3,.791,1.7,5.8,7.5,1.4,0.7,0.8,1.5,2.7,9.7
Sam Dekker,PF,23,LAC,64,1,12.3,1.7,3.6,.478,0.1,0.9,.155,1.6,2.7,.586,.498,0.5,0.8,.694,0.6,1.7,2.3,0.5,0.3,0.1,0.4,1.0,4.1
Malcolm Delaney,PG,28,ATL,54,3,18.8,2.0,5.3,.382,0.9,2.3,.371,1.2,3.0,.391,.463,1.4,1.7,.804,0.2,1.7,1.9,3.0,0.6,0.1,1.2,1.5,6.3
Matthew Dellavedova,PG,27,MIL,37,3,19.0,1.5,4.0,.369,0.8,2.1,.377,0.7,1.9,.361,.466,0.6,0.7,.920,0.4,1.4,1.7,3.8,0.4,0.0,1.3,1.8,4.4
Luol Deng,SF,32,LAL,1,1,13.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0
DeMar DeRozan,SG,28,TOR,71,71,34.1,8.2,17.9,.460,1.2,3.6,.323,7.1,14.3,.495,.493,6.0,7.3,.827,0.8,3.2,4.0,5.1,1.1,0.3,2.2,1.8,23.6
Cheick Diallo,PF,21,NOP,42,0,10.4,2.0,3.4,.569,0.0,0.0,,2.0,3.4,.569,.569,0.9,1.2,.776,0.8,3.0,3.8,0.3,0.2,0.4,0.5,1.4,4.8
Gorgui Dieng,C,28,MIN,69,0,17.2,2.3,4.9,.472,0.2,0.7,.265,2.1,4.2,.507,.491,1.1,1.4,.768,1.3,3.2,4.5,1.0,0.6,0.5,0.8,1.9,5.9
Spencer Dinwiddie,PG,24,BRK,71,57,29.1,4.2,10.8,.387,1.7,5.4,.323,2.4,5.4,.453,.469,2.8,3.4,.833,0.5,2.8,3.3,6.7,0.9,0.3,1.6,2.4,12.9
Tyler Dorsey,SG,21,ATL,45,5,15.2,2.0,5.6,.346,1.0,3.1,.326,1.0,2.6,.371,.435,0.7,0.9,.714,0.3,1.9,2.2,1.4,0.3,0.1,0.5,0.9,5.6
Damyean Dotson,SG,23,NYK,38,2,8.6,1.2,2.8,.415,0.4,1.2,.311,0.8,1.6,.492,.481,0.3,0.4,.714,0.2,1.2,1.4,0.6,0.2,0.0,0.3,0.6,2.9
Milton Doyle,SG,24,BRK,6,0,10.5,1.2,4.2,.280,0.3,2.2,.154,0.8,2.0,.417,.320,0.3,0.5,.667,0.3,1.2,1.5,0.7,0.3,0.2,0.3,0.5,3.0
PJ Dozier,PG,21,OKC,2,0,1.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,1.0
Goran Dragic,PG,31,MIA,67,67,31.8,6.6,14.6,.448,1.5,4.1,.361,5.1,10.5,.482,.498,3.0,3.8,.797,0.7,3.3,4.0,4.8,0.8,0.2,2.2,2.4,17.6
Larry Drew,PG,27,TOT,7,0,6.6,0.4,2.1,.200,0.3,0.9,.333,0.1,1.3,.111,.267,0.0,0.0,,0.3,0.0,0.3,0.7,0.0,0.0,0.1,0.6,1.1
Larry Drew,PG,27,PHI,3,0,5.0,0.3,2.3,.143,0.0,1.0,.000,0.3,1.3,.250,.143,0.0,0.0,,0.3,0.0,0.3,0.7,0.0,0.0,0.3,0.7,0.7
Larry Drew,PG,27,NOP,4,0,7.8,0.5,2.0,.250,0.5,0.8,.667,0.0,1.3,.000,.375,0.0,0.0,,0.3,0.0,0.3,0.8,0.0,0.0,0.0,0.5,1.5
Andre Drummond,C,24,DET,69,69,33.1,5.9,11.2,.528,0.0,0.1,.000,5.9,11.1,.533,.528,3.0,4.9,.611,5.1,10.6,15.7,3.1,1.5,1.7,2.6,3.2,14.8
Jared Dudley,PF,32,PHO,41,0,14.1,1.0,2.5,.396,0.7,1.7,.397,0.3,0.8,.394,.530,0.6,0.7,.828,0.2,1.7,1.9,1.7,0.5,0.2,0.6,1.8,3.2
Kris Dunn,PG,23,CHI,52,43,29.3,5.5,12.8,.429,0.8,2.6,.321,4.7,10.2,.457,.462,1.6,2.2,.730,0.5,3.8,4.3,6.0,2.0,0.5,2.9,3.4,13.4
Kevin Durant,PF,29,GSW,60,60,34.7,9.4,18.0,.520,2.6,6.1,.430,6.8,11.9,.566,.593,5.2,5.9,.887,0.5,6.3,6.8,5.4,0.8,1.9,3.1,2.0,26.6
Jarell Eddie,SF,26,TOT,3,0,3.0,0.0,0.7,.000,0.0,0.7,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0
Jarell Eddie,SF,26,BOS,2,0,3.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0
Jarell Eddie,SF,26,CHI,1,0,3.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henry Ellenson,PF,21,DET,29,0,6.1,1.0,3.0,.326,0.3,1.2,.286,0.6,1.8,.353,.384,0.2,0.3,.700,0.2,1.4,1.7,0.4,0.1,0.0,0.4,0.4,2.5
Wayne Ellington,SG,30,MIA,67,2,26.7,3.7,9.3,.405,3.0,7.7,.392,0.7,1.6,.467,.567,0.9,1.1,.845,0.3,2.6,3.0,1.1,0.7,0.1,0.7,1.2,11.4
Joel Embiid,C,23,PHI,59,59,31.1,8.3,17.2,.483,1.1,3.5,.312,7.2,13.7,.526,.514,5.8,7.5,.767,2.3,8.8,11.2,3.3,0.6,1.8,3.8,3.4,23.5
James Ennis,SF,27,TOT,62,22,23.2,2.5,5.3,.476,0.7,2.1,.357,1.8,3.2,.552,.545,1.5,1.7,.850,1.1,2.2,3.4,1.0,0.7,0.3,0.8,2.0,7.3
James Ennis,SF,27,MEM,45,14,23.4,2.4,4.9,.486,0.7,1.9,.357,1.7,3.1,.565,.554,1.4,1.6,.877,1.2,2.3,3.5,1.1,0.7,0.3,0.8,1.8,6.9
James Ennis,SF,27,DET,17,8,22.6,2.9,6.4,.454,0.9,2.6,.356,1.9,3.7,.524,.528,1.6,2.0,.794,1.1,2.0,3.1,0.9,0.6,0.3,0.8,2.5,8.3
Tyler Ennis,PG,23,LAL,43,11,10.5,1.3,3.2,.396,0.2,0.9,.243,1.1,2.4,.451,.428,0.3,0.5,.700,0.3,1.2,1.4,1.5,0.4,0.1,0.5,1.3,3.1
Jawun Evans,PG,21,LAC,46,4,16.8,1.9,5.5,.352,0.3,1.2,.278,1.6,4.3,.372,.381,0.8,1.1,.776,0.2,1.6,1.8,2.2,0.8,0.1,1.0,2.1,5.0
Tyreke Evans,PG,28,MEM,51,31,31.1,7.0,15.6,.450,2.2,5.6,.398,4.8,10.1,.479,.521,3.2,4.0,.795,0.8,4.2,5.1,5.2,1.1,0.3,2.2,1.8,19.5
Dante Exum,PG,22,UTA,3,0,14.7,2.0,5.0,.400,0.0,0.7,.000,2.0,4.3,.462,.400,2.0,2.7,.750,0.3,1.7,2.0,1.3,1.0,0.0,1.3,1.7,6.0
Kenneth Faried,PF,28,DEN,32,7,14.4,2.4,4.6,.514,0.0,0.0,.000,2.4,4.6,.517,.514,1.1,1.6,.706,2.1,2.7,4.8,0.6,0.4,0.4,0.7,1.6,5.9
Derrick Favors,C,26,UTA,66,66,27.8,5.0,9.0,.556,0.2,0.7,.227,4.8,8.3,.583,.565,1.8,2.8,.663,2.6,4.7,7.2,1.3,0.8,1.0,1.2,2.1,12.0
Kay Felder,PG,22,TOT,15,0,9.1,1.3,4.5,.294,0.3,1.3,.211,1.1,3.3,.327,.324,0.7,0.8,.917,0.1,0.9,1.0,1.3,0.2,0.1,1.1,0.7,3.7
Kay Felder,PG,22,CHI,14,0,9.6,1.4,4.7,.303,0.3,1.3,.222,1.1,3.4,.333,.333,0.8,0.9,.917,0.1,0.9,1.0,1.4,0.2,0.1,1.1,0.8,3.9
Kay Felder,PG,22,DET,1,0,3.0,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Cristiano Felicio,C,25,CHI,45,8,16.0,2.1,3.4,.621,0.0,0.0,.000,2.1,3.4,.625,.621,0.8,1.3,.638,1.1,2.2,3.3,0.9,0.2,0.2,0.8,1.9,5.0
Raymond Felton,PG,33,OKC,73,2,16.8,2.8,6.7,.411,1.0,2.7,.357,1.8,4.0,.448,.484,0.5,0.6,.810,0.3,1.6,2.0,2.6,0.6,0.2,0.9,1.1,6.9
Terrance Ferguson,SG,19,OKC,55,12,12.3,1.1,2.7,.416,0.6,1.8,.320,0.5,0.9,.612,.523,0.1,0.1,.875,0.3,0.4,0.7,0.3,0.4,0.2,0.2,1.4,3.0
Yogi Ferrell,SG,24,DAL,71,21,29.1,3.8,8.8,.428,1.6,4.3,.377,2.1,4.5,.478,.521,1.0,1.3,.820,0.4,2.9,3.2,2.4,0.8,0.1,1.0,2.0,10.2
Dorian Finney-Smith,PF,24,DAL,12,4,15.1,1.4,3.4,.415,0.6,2.1,.280,0.8,1.3,.625,.500,0.4,0.6,.714,0.9,1.7,2.6,0.7,0.2,0.2,0.7,2.0,3.8
Bryn Forbes,SG,24,SAS,71,12,19.3,2.7,6.4,.423,1.2,3.0,.388,1.5,3.4,.454,.514,0.5,0.9,.639,0.2,1.3,1.4,0.9,0.4,0.0,0.5,1.4,7.1
Evan Fournier,SF,25,ORL,57,57,32.2,6.5,14.1,.459,2.2,5.9,.379,4.2,8.2,.516,.538,2.6,3.0,.867,0.4,2.8,3.2,2.9,0.8,0.3,1.7,2.4,17.8
De'Aaron Fox,PG,20,SAC,63,50,27.5,4.5,10.7,.421,0.6,1.9,.328,3.9,8.8,.441,.450,1.9,2.7,.714,0.4,2.1,2.6,4.3,1.0,0.3,2.4,2.2,11.6
Tim Frazier,PG,27,WAS,53,11,14.8,1.2,3.0,.398,0.3,1.0,.296,0.9,2.0,.449,.447,0.4,0.5,.786,0.3,1.7,2.0,3.5,0.8,0.1,1.0,1.7,3.1
Channing Frye,C,34,TOT,45,1,12.4,1.9,3.8,.500,0.7,2.0,.341,1.2,1.8,.684,.591,0.3,0.3,.933,0.2,2.2,2.4,0.6,0.4,0.3,0.4,1.2,4.8
Channing Frye,C,34,CLE,44,1,12.4,1.9,3.8,.497,0.7,2.0,.333,1.2,1.8,.684,.586,0.3,0.3,.933,0.2,2.3,2.5,0.6,0.4,0.3,0.4,1.2,4.8
Channing Frye,C,34,LAL,1,0,11.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
Markelle Fultz,SG,19,PHI,4,0,19.0,2.3,6.8,.333,0.0,0.0,,2.3,6.8,.333,.333,1.5,3.0,.500,0.8,1.5,2.3,1.8,0.5,0.3,1.5,1.5,6.0
Danilo Gallinari,SF,29,LAC,19,19,32.4,5.2,12.7,.407,1.8,5.6,.321,3.4,7.1,.474,.477,3.8,4.1,.948,0.4,4.5,4.9,2.1,0.6,0.3,1.2,1.4,15.9
Langston Galloway,SG,26,DET,53,2,14.7,2.2,5.7,.380,1.3,3.7,.347,0.9,2.0,.439,.492,0.5,0.6,.794,0.2,1.3,1.5,1.0,0.6,0.1,0.3,0.7,6.1
Marc Gasol,C,33,MEM,66,66,33.7,6.0,14.5,.414,1.4,4.4,.324,4.6,10.1,.453,.463,4.1,4.9,.834,1.1,7.3,8.4,4.2,0.7,1.5,2.7,2.5,17.5
Pau Gasol,C,37,SAS,67,59,24.2,3.8,8.4,.459,0.6,1.6,.376,3.2,6.7,.479,.496,2.1,2.8,.768,1.5,6.5,8.1,3.2,0.3,1.1,1.5,1.5,10.4
Rudy Gay,PF,31,SAS,47,6,21.5,4.3,9.1,.467,0.7,2.0,.326,3.6,7.1,.508,.504,2.0,2.5,.793,1.2,3.8,5.0,1.3,0.7,0.7,1.5,1.8,11.1
Paul George,SF,27,OKC,70,70,36.4,7.4,16.8,.438,3.1,7.6,.410,4.3,9.2,.462,.531,4.0,4.9,.809,0.9,4.8,5.7,3.4,2.0,0.5,2.7,2.9,21.8
Marcus Georges-Hunt,SG,23,MIN,39,0,5.2,0.4,1.1,.405,0.1,0.4,.214,0.4,0.7,.500,.440,0.2,0.4,.500,0.2,0.2,0.4,0.2,0.1,0.0,0.1,0.8,1.2
Taj Gibson,PF,32,MIN,72,72,33.5,5.3,9.0,.581,0.1,0.5,.212,5.2,8.6,.600,.586,1.7,2.2,.766,2.4,4.7,7.1,1.3,0.8,0.7,1.1,2.7,12.3
Manu Ginobili,SG,40,SAS,56,0,20.1,3.1,7.2,.433,0.9,3.0,.319,2.2,4.3,.513,.499,1.6,1.9,.849,0.3,1.8,2.1,2.5,0.7,0.3,1.6,1.9,8.8
Rudy Gobert,C,25,UTA,45,45,32.4,5.1,8.3,.621,0.0,0.0,,5.1,8.3,.621,.621,3.8,5.5,.692,3.0,7.9,10.8,1.3,0.7,2.3,1.8,2.8,14.1
Aaron Gordon,PF,22,ORL,48,47,33.7,6.6,15.0,.444,2.0,5.9,.345,4.6,9.1,.507,.511,2.9,4.1,.702,1.6,6.7,8.4,2.3,0.9,0.8,1.8,2.0,18.2
Eric Gordon,SG,29,HOU,62,25,31.3,6.0,14.1,.423,3.1,8.8,.353,2.8,5.3,.540,.534,3.0,3.7,.815,0.4,2.1,2.5,2.2,0.6,0.4,1.9,1.7,18.0
Marcin Gortat,C,33,WAS,71,71,25.5,3.5,6.8,.518,0.0,0.0,,3.5,6.8,.518,.518,1.4,2.1,.669,2.2,5.4,7.6,1.8,0.5,0.7,1.2,2.1,8.5
Treveon Graham,SG,24,CHO,59,2,16.7,1.6,3.5,.445,0.7,1.5,.429,0.9,2.0,.458,.538,0.7,0.9,.727,0.6,1.3,1.9,0.9,0.5,0.0,0.4,1.7,4.5
Jerami Grant,PF,23,OKC,72,1,20.5,3.0,5.7,.527,0.4,1.4,.273,2.6,4.3,.608,.560,1.8,2.8,.643,1.1,2.9,4.0,0.8,0.4,0.9,0.7,2.0,8.1
Jerian Grant,PG,25,CHI,63,26,22.6,2.7,6.5,.423,0.8,2.4,.336,1.9,4.1,.473,.484,2.0,2.6,.764,0.4,2.0,2.4,4.7,0.8,0.1,1.2,1.7,8.3
Josh Gray,PG,24,PHO,5,0,17.2,2.2,8.2,.268,0.6,2.6,.231,1.6,5.6,.286,.305,1.4,2.2,.636,0.4,1.6,2.0,2.4,1.6,0.4,1.4,1.6,6.4
Danny Green,SG,30,SAS,60,53,25.9,3.2,8.2,.395,1.7,4.7,.369,1.5,3.5,.429,.500,0.6,0.8,.776,0.6,3.0,3.6,1.6,0.9,1.2,1.0,1.6,8.8
Draymond Green,PF,27,GSW,62,62,32.9,4.1,9.1,.451,1.1,3.7,.300,3.0,5.4,.555,.512,1.9,2.5,.768,1.2,6.7,7.9,7.3,1.4,1.4,2.8,2.6,11.3
Gerald Green,SG,32,HOU,30,0,20.9,3.7,9.3,.401,2.5,6.7,.378,1.2,2.6,.462,.538,1.1,1.4,.780,0.4,2.5,2.9,0.4,0.5,0.4,0.6,2.1,11.1
JaMychal Green,PF,27,MEM,50,49,27.9,4.1,9.0,.459,0.7,2.3,.322,3.4,6.7,.506,.500,1.5,2.1,.733,2.7,5.6,8.3,1.5,0.6,0.4,1.4,2.7,10.6
Jeff Green,PF,31,CLE,68,6,23.1,3.8,7.9,.476,0.6,2.1,.300,3.1,5.8,.538,.515,2.7,3.1,.862,0.8,2.5,3.3,1.3,0.5,0.4,1.0,1.9,10.8
Blake Griffin,PF,28,TOT,55,55,34.1,7.6,17.4,.436,1.9,5.6,.345,5.7,11.8,.478,.491,4.7,5.9,.790,1.3,6.2,7.4,5.7,0.7,0.3,2.8,2.3,21.7
Blake Griffin,PF,28,LAC,33,33,34.5,7.7,17.5,.441,1.9,5.7,.342,5.8,11.8,.488,.497,5.2,6.6,.785,1.4,6.5,7.9,5.4,0.9,0.3,3.0,2.4,22.6
Blake Griffin,PF,28,DET,22,22,33.5,7.4,17.2,.427,1.9,5.5,.350,5.5,11.8,.463,.483,3.8,4.8,.800,1.1,5.6,6.7,6.0,0.4,0.4,2.5,2.3,20.5
Daniel Hamilton,SG,22,OKC,5,0,5.2,1.0,2.2,.455,0.4,1.0,.400,0.6,1.2,.500,.545,0.0,0.0,,0.0,1.0,1.0,1.4,0.2,0.0,0.4,0.0,2.4
Tim Hardaway,SG,25,NYK,50,47,32.9,6.3,15.0,.419,2.2,7.1,.311,4.1,7.9,.518,.493,2.6,3.2,.823,0.6,3.3,3.9,2.7,1.0,0.2,1.6,2.2,17.4
James Harden,SG,28,HOU,63,63,35.6,9.2,20.4,.452,3.9,10.4,.375,5.3,10.1,.531,.547,8.8,10.1,.867,0.6,4.7,5.2,8.7,1.8,0.7,4.3,2.4,31.2
Maurice Harkless,SF,24,POR,57,34,21.1,2.4,4.9,.491,0.8,1.9,.414,1.6,2.9,.542,.573,0.7,1.0,.719,0.7,1.9,2.7,0.8,0.8,0.7,0.7,1.7,6.3
Montrezl Harrell,C,24,LAC,65,3,16.1,4.3,6.8,.629,0.0,0.1,.000,4.3,6.7,.635,.629,1.9,2.9,.649,1.4,2.6,3.9,0.8,0.5,0.7,0.9,1.9,10.5
Devin Harris,PG,34,TOT,61,1,18.4,2.6,6.3,.417,1.1,3.1,.349,1.6,3.2,.482,.503,2.0,2.4,.838,0.2,1.6,1.8,2.1,0.7,0.2,1.1,2.3,8.4
Devin Harris,PG,34,DAL,44,1,18.3,2.7,6.5,.415,1.0,2.8,.352,1.7,3.6,.465,.493,2.1,2.5,.830,0.2,1.7,1.9,1.9,0.8,0.2,1.1,2.3,8.5
Devin Harris,PG,34,DEN,17,0,18.6,2.5,6.0,.422,1.3,3.8,.344,1.2,2.2,.553,.529,1.8,2.1,.861,0.2,1.3,1.5,2.4,0.6,0.2,0.9,2.2,8.2
Gary Harris,SG,23,DEN,65,65,34.8,6.6,13.7,.486,2.4,6.0,.399,4.3,7.7,.553,.573,2.0,2.4,.827,0.6,2.1,2.7,3.0,1.8,0.2,1.8,1.8,17.7
Joe Harris,SG,26,BRK,70,11,25.2,3.7,7.8,.474,1.8,4.6,.401,1.9,3.3,.574,.590,1.0,1.3,.820,0.7,2.7,3.3,1.6,0.5,0.2,1.1,2.0,10.3
Tobias Harris,PF,25,TOT,69,69,33.3,6.9,15.2,.457,2.3,5.7,.409,4.6,9.4,.487,.535,2.3,2.7,.840,0.8,4.8,5.6,2.3,0.9,0.4,1.3,2.0,18.5
Tobias Harris,PF,25,DET,48,48,32.6,6.7,14.8,.451,2.4,5.8,.409,4.3,9.0,.478,.531,2.4,2.8,.846,0.8,4.3,5.1,2.0,0.7,0.3,1.1,1.9,18.1
Tobias Harris,PF,25,LAC,21,21,35.0,7.6,16.1,.470,2.3,5.7,.408,5.2,10.4,.505,.543,2.0,2.4,.824,0.9,5.8,6.7,3.0,1.3,0.7,1.7,2.3,19.5
Andrew Harrison,PG,23,MEM,54,44,23.3,3.1,7.4,.420,0.8,2.4,.341,2.3,5.0,.459,.476,2.2,2.8,.778,0.4,1.9,2.3,3.0,0.7,0.5,1.4,2.5,9.3
Shaquille Harrison,PG,24,PHO,13,1,14.3,1.8,4.5,.414,0.2,1.1,.214,1.6,3.4,.477,.440,1.2,1.7,.682,0.4,2.6,3.0,1.8,1.0,0.5,0.8,2.0,5.1
Josh Hart,SG,22,LAL,55,20,21.5,2.4,5.2,.461,1.1,2.7,.397,1.3,2.4,.534,.567,0.8,1.2,.656,0.6,3.1,3.7,1.2,0.7,0.2,0.6,1.6,6.6
Udonis Haslem,C,37,MIA,13,0,5.1,0.2,1.1,.214,0.1,0.5,.143,0.2,0.5,.286,.250,0.0,0.0,,0.2,0.5,0.7,0.4,0.0,0.2,0.2,0.2,0.5
Nigel Hayes,SF,23,TOT,4,0,4.3,0.8,1.3,.600,0.5,1.0,.500,0.3,0.3,1.000,.800,0.3,0.3,1.000,0.0,0.0,0.0,0.5,0.0,0.0,0.3,0.0,2.3
Nigel Hayes,SF,23,LAL,2,0,5.5,0.5,1.5,.333,0.0,1.0,.000,0.5,0.5,1.000,.333,0.5,0.5,1.000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5
Nigel Hayes,SF,23,TOR,2,0,3.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3.0
Gordon Hayward,SF,27,BOS,1,1,5.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
Reggie Hearn,SG,26,DET,2,0,1.5,0.5,0.5,1.000,0.5,0.5,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
Myke Henry,SF,25,MEM,15,0,18.6,2.0,5.2,.385,1.0,2.9,.349,1.0,2.3,.429,.481,0.4,0.7,.600,0.5,1.2,1.7,1.1,1.4,0.3,0.9,1.4,5.4
John Henson,C,27,MIL,66,59,25.7,3.7,6.5,.576,0.0,0.1,.000,3.7,6.4,.581,.576,1.3,2.2,.597,2.0,4.8,6.8,1.3,0.5,1.4,1.1,2.7,8.8
Juan Hernangomez,PF,22,DEN,22,3,11.4,1.2,3.0,.388,0.5,1.9,.262,0.7,1.1,.600,.470,0.5,0.5,.833,0.8,1.6,2.4,0.4,0.3,0.1,0.4,0.9,3.3
Willy Hernangomez,C,23,TOT,38,0,8.5,1.6,2.9,.555,0.1,0.2,.375,1.5,2.7,.569,.568,0.7,1.4,.538,0.9,1.7,2.7,0.6,0.3,0.3,0.8,1.2,4.0
Willy Hernangomez,C,23,NYK,26,0,9.0,1.9,3.1,.605,0.0,0.2,.200,1.8,2.9,.632,.611,0.5,1.1,.429,0.8,1.7,2.6,0.8,0.3,0.3,1.0,1.2,4.3
Willy Hernangomez,C,23,CHO,12,0,7.6,1.0,2.4,.414,0.2,0.3,.667,0.8,2.2,.385,.448,1.3,2.0,.667,1.1,1.8,2.8,0.2,0.3,0.3,0.3,1.0,3.5
Mario Hezonja,SF,22,ORL,64,21,20.6,3.5,7.8,.448,1.1,3.3,.330,2.4,4.5,.533,.517,1.0,1.2,.824,0.6,2.9,3.5,1.2,1.0,0.3,1.0,1.8,9.0
Isaiah Hicks,PF,23,NYK,10,0,13.3,1.7,3.7,.459,0.1,0.6,.167,1.6,3.1,.516,.473,0.5,0.8,.625,0.6,1.7,2.3,0.4,0.2,0.2,0.9,2.7,4.0
Buddy Hield,SG,24,SAC,70,12,24.8,5.0,11.4,.440,2.1,5.1,.420,2.9,6.3,.457,.535,0.9,1.0,.887,0.6,3.2,3.8,1.8,0.9,0.3,1.4,1.8,13.1
Nene Hilario,C,35,HOU,47,3,14.5,2.7,4.6,.587,0.0,0.0,.000,2.7,4.6,.593,.587,1.3,2.0,.649,1.0,2.3,3.3,0.9,0.5,0.3,0.8,2.4,6.7
